SiteID,Name,Short Name,Latitude,Longitude,Geographic Coordinate System,Easting,Northing,Zone,Start date,Cease date,Active,Elevation (m),Basin,Site types,Catchment Management Authority,Gauge Zero (mAHD),Drainage Area (sq.km),Gauge Count,Last Gauge Date,First Gauge Date,Maximum Gauge (m),Maximum Gauge Date,Gauge Datum,Control,Cease to flow (m),Datum,Spillway (mAHD)
 "407289","NINE MILE CREEK @ SERPENTINE CREEK OFFTAKE","9 MILE SERP.OFFTAKE"," 36�05'51.8""S","143�55'27.2""E","World Geodetic System 1984","763264.004","6001239.999","54","1990/10/26","","true","91.746","Loddon","RF,SW","North Central CMA","0.000","0.00000","10","1999/08/31","1991/06/20","1.730","1992/10/14","Universal Transverse Mercator","NATURAL","0.550","Unknown","0.000"
 "407290","BULLOCK CREEK @ EAST LODDON","BULLOCK @EAST LODDON"," 36�22'22.8""S","144�08'14.8""E","World Geodetic System 1984","243191.998","5970860.000","55","1990/10/24","","true","107.344","Loddon","RF,SW","North Central CMA","0.000","425.00000","71","2024/05/29","1991/04/24","1.830","2010/12/01","Universal Transverse Mercator","Natural; Stream bed and banks","0.000","Unknown","0.000"
 "407295","BOX CREEK @ MANSFIELD'S BRIDGE","BOX CK @ MANSFIELD"," 35�54'51.0""S","144�12'12.7""E","World Geodetic System 1984","247655.997","6021944.000","55","1992/11/23","","true","81.066","Loddon","SW","North Central CMA","0.000","0.00000","166","2026/04/22","1996/10/30","81.405","2024/01/19","Universal Transverse Mercator","NATURAL STREAM BED AND BANKS","0.000","Australian Height Datum","0.000"
 "407300","MUCKLEFORD CREEK @ MUCKLEFORD NORTH","MUCKLEFORD CK"," 37�01'00.1""S","144�08'30.3""E","World Geodetic System 1984","245708.997","5899442.000","55","1993/12/23","","true","266.395","Loddon","RF,SW","North Central CMA","0.000","126.00000","50","2023/07/26","1995/05/02","2.183","2016/09/13","Universal Transverse Mercator","Artificial; Low profile rectangular weir","0.100","Arbitrary","0.000"
 "407301","WANDELLA CREEK @ GANNONS WEIR","WANDELLA @GANNONS W."," 36�00'39.7""S","143�49'34.1""E","World Geodetic System 1984","754709.997","6011118.001","54","1994/12/12","","true","87.083","Loddon","SW","North Central CMA","0.000","0.00000","16","2016/10/24","1995/06/13","87.292","1995/07/21","Universal Transverse Mercator","Natural; Stream bed and banks","86.714","Australian Height Datum","0.000"
 "407302","VENABLES CREEK @ BOORT DURHAM OX ROAD","VENABLES CK BOORT RD"," 36�07'17.9""S","143�50'00.4""E","World Geodetic System 1984","755011.002","5998828.000","54","1994/09/16","","true","92.943","Loddon","SW","North Central CMA","0.000","0.00000","12","2016/10/24","1995/06/13","93.346","2016/09/19","Universal Transverse Mercator","Natural; Clay stream banks and bed","92.150","Australian Height Datum","0.000"
 "407311","WOMBAT CREEK @ D/S WOMBAT CREEK RESERVOIR","WOMBAT CK D/S RES."," 37�23'23.4""S","144�10'28.0""E","World Geodetic System 1984","249854.298","5858119.553","55","1998/09/03","","true","635.544","Loddon","SW","North Central CMA","0.000","9.26089","61","2025/12/09","1998/09/23","0.520","2000/09/08","Australian Map Grid 1966","Artificial; Concrete weir","0.075","Gauge Datum","0.000"
 "407312","KANGAROO CREEK @ U/S BULLARTO RESERVOIR","KANGAROO CK BULLARTO"," 37�23'10.1""S","144�14'22.1""E","Australian Geodetic Datum 1966","255600.004","5858700.000","55","1998/09/10","","true","716.615","Loddon","SW","North Central CMA","0.000","5.70361","83","2026/02/25","1998/09/23","0.345","2000/11/02","Australian Map Grid 1966","Natural; Rock bar","0.100","Gauge Datum","0.000"
 "407314","MC CALLUMS CREEK @ U/S EVANSFORD RESERVOIR","MC CALLUMS EVANSFORD"," 37�17'02.2""S","143�38'56.0""E","World Geodetic System 1984","734831.854","5870324.499","54","1999/06/29","","true","349.530","Loddon","SW","North Central CMA","0.000","71.28258","81","2025/12/01","1999/06/29","2.430","2022/10/13","Australian National Grid","Artificial: Concrete weir","0.100","Gauge Datum","0.000"
 "407315","STONY CREEK @ U/S TALBOT RESERVOIR","STONY CK U/S TALBOT"," 37�15'26.6""S","143�37'54.2""E","Geodetic Datum of Australia 1994","733391.038","5873328.985","54","2000/06/23","","true","340.349","Loddon","RF,SW","North Central CMA","0.000","6.67852","17","2022/09/16","2000/09/11","1.494","2022/10/06","(unknown)","Artificial; Concrete measuring section","0.100","Gauge Datum","0.000"
