Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature,Latitude,Longitude,Easting,Northing
SNOWY R @ JARRAHMOND,222200,5,1914.08,6.4,15.9," 37°39'39.9""S","148°21'40.7""E",620071.000,5830901.000
SNOWY R @ JARRAHMOND,222200,6,3479.25,50,10.7," 37°39'39.9""S","148°21'40.7""E",620071.000,5830901.000
BRODRIBB @ SARDINE,222202,7,1188.99,5.6,9.2," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,8,407.28,5.7,8.1," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,9,323.38,2.8,10.5," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,10,300.08,10,10," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,11,200.72,2.2,17.9," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,12,152.32,2.2,17.5," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,1,147.63,2,21," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,2,174.44,17.4,19.3," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,3,149.25,2.3,19.7," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,4,441.63,3.6,13.5," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,5,295.33,4,10.1," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BRODRIBB @ SARDINE,222202,6,643.9,83,9.8," 37°30'41.5""S","148°32'50.4""E",636752.002,5847240.000
BUCHAN @ BUCHAN,222206,7,414.18,2.6,8," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,8,341.3,4.5,7.3," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,9,303.87,4,12.4," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,10,224.38,3.2,13.6," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,11,133.59,2.7,20.6," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,12,206.8,3,20.1," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
BUCHAN @ BUCHAN,222206,1,93.27,3.6,23.5," 37°29'45.0""S","148°10'23.7""E",603711.004,5849459.000
