Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature
VALENCIA @ GILLIO RD,225223,07,82.1,1.3,7.8
VALENCIA @ GILLIO RD,225223,08,26.92,1.7,7.2
VALENCIA @ GILLIO RD,225223,09,23.34,1,13.8
VALENCIA @ GILLIO RD,225223,10,14.6,1.3,14.5
VALENCIA @ GILLIO RD,225223,11,10.21,1.2,22.8
VALENCIA @ GILLIO RD,225223,12,8.2,2.2,23.5
VALENCIA @ GILLIO RD,225223,01,8.4,1.8,20.1
VALENCIA @ GILLIO RD,225223,02,207.06,1.1,27.5
VALENCIA @ GILLIO RD,225223,03,77.27,1.8,20.3
VALENCIA @ GILLIO RD,225223,04,138.08,8.4,14.7
VALENCIA @ GILLIO RD,225223,05,44.77,2.1,12.3
VALENCIA @ GILLIO RD,225223,06,53.8,1.4,8.3
THOM. @U/S COWWARR W,225231,07,437.79,23.7,9
THOM. @U/S COWWARR W,225231,08,274.65,2.2,9.3
THOM. @U/S COWWARR W,225231,09,287.81,3.7,11.9
THOM. @U/S COWWARR W,225231,10,260.85,2.2,15.7
THOM. @U/S COWWARR W,225231,11,546.46,4.6,14.6
THOM. @U/S COWWARR W,225231,12,303.89,2.3,22.9
THOM. @U/S COWWARR W,225231,01,267.67,1.4,19.5
THOM. @U/S COWWARR W,225231,02,427.79,13.2,22.9
THOM. @U/S COWWARR W,225231,03,248.21,1.2,21.8
THOM. @U/S COWWARR W,225231,04,471.27,1.3,15.7
THOM. @U/S COWWARR W,225231,05,248.98,2.2,11.1
THOM. @U/S COWWARR W,225231,06,252.15,1.6,7.1
THOMSON @ BUNDALAGUA,225232,07,582.51,13,8.5
THOMSON @ BUNDALAGUA,225232,08,413.35,18.2,8.8
THOMSON @ BUNDALAGUA,225232,09,394.53,19.2,12.5
THOMSON @ BUNDALAGUA,225232,10,342.35,25,16.3
THOMSON @ BUNDALAGUA,225232,11,730.14,36,19.1
THOMSON @ BUNDALAGUA,225232,12,383.38,32,23.4
THOMSON @ BUNDALAGUA,225232,01,352.36,19,22.1
THOMSON @ BUNDALAGUA,225232,02,660.61,25,24.4
THOMSON @ BUNDALAGUA,225232,03,390.54,22,23.2
THOMSON @ BUNDALAGUA,225232,04,737.39,47,17.4
THOMSON @ BUNDALAGUA,225232,05,518.27,22,14.5
THOMSON @ BUNDALAGUA,225232,06,741.63,18.6,10.4
AVON R @ CHINN'S BR,225234,07,503.5,7.1,8.7
AVON R @ CHINN'S BR,225234,08,251.2,7.6,8.4
AVON R @ CHINN'S BR,225234,09,238.74,17.2,12.6
AVON R @ CHINN'S BR,225234,10,129.6,12.3,17.2
AVON R @ CHINN'S BR,225234,11,147,12.9,20.9
AVON R @ CHINN'S BR,225234,12,210.67,13.7,23
AVON R @ CHINN'S BR,225234,01,184.34,17.5,25.4
AVON R @ CHINN'S BR,225234,02,0,10.7,25.9
AVON R @ CHINN'S BR,225234,03,161.39,14.8,22.3
AVON R @ CHINN'S BR,225234,04,745.03,48,18
AVON R @ CHINN'S BR,225234,05,265.33,10.9,15.2
AVON R @ CHINN'S BR,225234,06,311.55,10.3,9.8
Nuntin ck @ Princes,225263,07,1.25,79,9.7
Nuntin ck @ Princes,225263,08,0.82,61,10.6
Nuntin ck @ Princes,225263,09,1.72,7.7,12.7
Nuntin ck @ Princes,225263,10,1.2,64,15.4
Nuntin ck @ Princes,225263,11,2.31,20.6,18.4
Nuntin ck @ Princes,225263,12,1.78,35.6,19.2
Nuntin ck @ Princes,225263,01,2.22,53.9,20
Nuntin ck @ Princes,225263,02,0,174,22.6
Nuntin ck @ Princes,225263,03,6.61,49,20.5
Nuntin ck @ Princes,225263,04,6.79,32.2,15.8
CG2 @ Freshwater Rd,225729,07,6.58,99,10.6
CG2 @ Freshwater Rd,225729,08,4.06,41.4,12.4
CG2 @ Freshwater Rd,225729,09,5.53,69,16
CG2 @ Freshwater Rd,225729,10,0,77,13
CG2 @ Freshwater Rd,225729,11,0,27.3,19
CG2 @ Freshwater Rd,225729,12,0,35.7,24.2
CG2 @ Freshwater Rd,225729,01,0,14.2,18.8
CG2 @ Freshwater Rd,225729,02,0,152,26.7
CG2 @ Freshwater Rd,225729,03,8.04,17,32.2
CG2 @ Freshwater Rd,225729,04,0,13,20.8
TYERS @ BROWNS,226007,07,492.61,44,6.6
TYERS @ BROWNS,226007,08,209.23,4.5,8.2
TYERS @ BROWNS,226007,09,266.29,12.2,7.4
TYERS @ BROWNS,226007,10,229.19,3.3,12.7
TYERS @ BROWNS,226007,11,139.89,3.8,14.8
TYERS @ BROWNS,226007,12,129.66,4.4,16.4
TYERS @ BROWNS,226007,01,103.51,5.7,20
TYERS @ BROWNS,226007,02,136.47,4.2,14.2
TYERS @ BROWNS,226007,03,119.04,5.8,13.3
TYERS @ BROWNS,226007,04,142.93,2.5,13.8
TYERS @ BROWNS,226007,05,109.59,2.4,5.4
TYERS @ BROWNS,226007,06,134.7,1.8,6.8
TYERS @ MORGANS MILL,226008,07,331.51,10.7,6.5
TYERS @ MORGANS MILL,226008,10,160.79,1.8,12.7
TYERS @ MORGANS MILL,226008,01,75.5,3.2,18
TYERS @ MORGANS MILL,226008,04,93.57,1.5,13.7
JACOBS @ O'TOOLES,226017,07,23,50,8.6
JACOBS @ O'TOOLES,226017,08,9.31,10.7,9.3
JACOBS @ O'TOOLES,226017,09,10.71,17.1,9.1
JACOBS @ O'TOOLES,226017,10,8.48,7.3,13
JACOBS @ O'TOOLES,226017,11,4.47,8.2,14.7
JACOBS @ O'TOOLES,226017,12,3.38,9.2,15.7
JACOBS @ O'TOOLES,226017,01,2.1,7.1,20
JACOBS @ O'TOOLES,226017,02,2.81,7,14.9
JACOBS @ O'TOOLES,226017,03,2.86,9.7,13.7
JACOBS @ O'TOOLES,226017,04,2.94,7,14.2
JACOBS @ O'TOOLES,226017,05,2.69,6.4,6.1
JACOBS @ O'TOOLES,226017,06,3.4,10.8,6.7
LATROBE @ WILLOW GVE,226204,07,876.31,9.2,5.5
LATROBE @ WILLOW GVE,226204,08,458,11.2,7.6
LATROBE @ WILLOW GVE,226204,09,515.29,12,11.2
LATROBE @ WILLOW GVE,226204,10,457.1,7.2,11.4
LATROBE @ WILLOW GVE,226204,11,323.82,11.3,17.6
LATROBE @ WILLOW GVE,226204,12,252.1,14,22.6
LATROBE @ WILLOW GVE,226204,01,210.82,16,8.7
LATROBE @ WILLOW GVE,226204,02,167.57,8.6,24.6
LATROBE @ WILLOW GVE,226204,03,169.7,6.6,19.4
LATROBE @ WILLOW GVE,226204,04,160.55,7.3,14.5
LATROBE @ WILLOW GVE,226204,05,166.67,5.1,13.4
LATROBE @ WILLOW GVE,226204,06,236.61,3.7,9.4
MOE R @ DARNUM,226209,07,355.22,9.2,5.2
MOE R @ DARNUM,226209,08,106.62,20,9.3
MOE R @ DARNUM,226209,09,139.12,28,9.1
MOE R @ DARNUM,226209,10,96.87,23,14.5
MOE R @ DARNUM,226209,11,33.27,30,16.9
MOE R @ DARNUM,226209,12,24.66,34,17.9
MOE R @ DARNUM,226209,01,12.35,22,16.9
MOE R @ DARNUM,226209,02,10.39,41,21.3
MOE R @ DARNUM,226209,03,15.06,35,16.8
MOE R @ DARNUM,226209,04,17.35,31,17.2
MOE R @ DARNUM,226209,05,18.89,31,14.6
MOE R @ DARNUM,226209,06,22.83,23.4,9.7
TANJIL @ TANJIL JUNC,226226,07,0,2.5,4.7
TANJIL @ TANJIL JUNC,226226,08,377.67,4.4,6.3
TANJIL @ TANJIL JUNC,226226,09,371.66,5.5,9.3
TANJIL @ TANJIL JUNC,226226,10,359.4,3.7,11.3
TANJIL @ TANJIL JUNC,226226,11,249.91,3.4,15.8
TANJIL @ TANJIL JUNC,226226,12,184.32,3.6,20.3
TANJIL @ TANJIL JUNC,226226,01,138.36,3.3,16.7
TANJIL @ TANJIL JUNC,226226,02,123.96,2.3,21.5
TANJIL @ TANJIL JUNC,226226,03,134.01,2.1,17.9
TANJIL @ TANJIL JUNC,226226,04,128.07,2.7,13.3
TANJIL @ TANJIL JUNC,226226,05,110.1,2.9,12.3
TANJIL @ TANJIL JUNC,226226,06,179.49,2.6,7.1
LATROBE @ KILMANY S.,226227,07,0,26,9.1
LATROBE @ KILMANY S.,226227,08,1919.31,36,8.9
LATROBE @ KILMANY S.,226227,09,2080.41,41,12
LATROBE @ KILMANY S.,226227,10,1665.32,52,15.8
LATROBE @ KILMANY S.,226227,11,1041.9,42,19.1
LATROBE @ KILMANY S.,226227,12,1076.47,57,22.5
LATROBE @ KILMANY S.,226227,01,511.19,43,21.1
LATROBE @ KILMANY S.,226227,02,486.19,51,24.3
LATROBE @ KILMANY S.,226227,03,520.59,51,23
LATROBE @ KILMANY S.,226227,04,485.72,61,18.6
LATROBE @ KILMANY S.,226227,05,531.87,38,14.7
LATROBE @ KILMANY S.,226227,06,627.31,24,10.2
LATROBE @ ROSEDALE,226228,07,3434.65,16.9,8.5
LATROBE @ ROSEDALE,226228,08,1895.9,32,8.6
LATROBE @ ROSEDALE,226228,09,2065.91,39,11.6
LATROBE @ ROSEDALE,226228,10,1699.37,64,15.9
LATROBE @ ROSEDALE,226228,11,1105.49,34,19.2
LATROBE @ ROSEDALE,226228,12,1095.25,47,22.4
LATROBE @ ROSEDALE,226228,01,547.88,32,19.7
LATROBE @ ROSEDALE,226228,02,512.45,36,24.8
LATROBE @ ROSEDALE,226228,03,529.92,40,23.1
LATROBE @ ROSEDALE,226228,04,501.49,44,18
LATROBE @ ROSEDALE,226228,05,528.01,28,15.2
LATROBE @ ROSEDALE,226228,06,640.27,23,9.8
TYERS R @ TYERS JUC,226235,07,0,10.4,6.7
TYERS R @ TYERS JUC,226235,10,204.75,3.4,12.7
TYERS R @ TYERS JUC,226235,01,102.8,2.9,17.5
TYERS R @ TYERS JUC,226235,04,116.24,2.6,13.6
MOE @ TRAFALGAR,226402,07,808.24,36,7
MOE @ TRAFALGAR,226402,08,216.39,32,9.7
MOE @ TRAFALGAR,226402,09,318.76,57,11.1
MOE @ TRAFALGAR,226402,10,240.16,43,13.5
MOE @ TRAFALGAR,226402,11,67.67,31,18.4
MOE @ TRAFALGAR,226402,12,47.99,81,21.3
MOE @ TRAFALGAR,226402,01,24.25,68,19.2
MOE @ TRAFALGAR,226402,02,20.05,83,23.7
MOE @ TRAFALGAR,226402,03,30.11,82,18.4
MOE @ TRAFALGAR,226402,04,29.89,83,17.1
MOE @ TRAFALGAR,226402,05,39.4,73,13.6
MOE @ TRAFALGAR,226402,06,51.78,31.5,9.2
TARRA @ YARRAM,227200,07,106.26,7.1,7.1
